filename,label
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0031.flac,"[{""start"": 8736, ""end"": 81376}, {""start"": 100896, ""end"": 124384}, {""start"": 133664, ""end"": 232416}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0012.flac,"[{""start"": 4128, ""end"": 44000}, {""start"": 63008, ""end"": 151008}, {""start"": 163360, ""end"": 179168}, {""start"": 201760, ""end"": 218592}, {""start"": 223264, ""end"": 245216}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0008.flac,"[{""start"": 3616, ""end"": 16352}, {""start"": 44576, ""end"": 74720}, {""start"": 80416, ""end"": 198112}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0032.flac,"[{""start"": 8736, ""end"": 207200}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0011.flac,"[{""start"": 8224, ""end"": 63968}, {""start"": 82976, ""end"": 102368}, {""start"": 106528, ""end"": 151520}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0014.flac,"[{""start"": 3616, ""end"": 35808}, {""start"": 48160, ""end"": 76768}, {""start"": 81952, ""end"": 134112}, {""start"": 138784, ""end"": 173536}, {""start"": 182304, ""end"": 233920}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0019.flac,"[{""start"": 11808, ""end"": 105440}, {""start"": 114720, ""end"": 166368}, {""start"": 182304, ""end"": 201184}, {""start"": 206368, ""end"": 220400}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0026.flac,"[{""start"": 5152, ""end"": 111072}, {""start"": 122400, ""end"": 188384}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0009.flac,"[{""start"": 3104, ""end"": 16352}, {""start"": 25120, ""end"": 56288}, {""start"": 87584, ""end"": 147936}, {""start"": 171040, ""end"": 248960}]"
wavs/LibriSpeech/train-clean-100/200/124139/200-124139-0006.flac,"[{""start"": 5664, ""end"": 56288}, {""start"": 65056, ""end"": 101856}, {""start"": 105504, ""end"": 130528}, {""start"": 153632, ""end"": 198112}, {""start"": 203296, ""end"": 251360}]"
