filename,label
wavs/data_thchs30/train/B31_348.wav,"[{""start"": 14880, ""end"": 154080}]"
wavs/data_thchs30/train/A19_60.wav,"[{""start"": 9248, ""end"": 29664}, {""start"": 31776, ""end"": 75232}, {""start"": 76832, ""end"": 101856}]"
wavs/data_thchs30/train/B7_276.wav,"[{""start"": 16928, ""end"": 89056}, {""start"": 103968, ""end"": 200672}]"
wavs/data_thchs30/train/A19_71.wav,"[{""start"": 7712, ""end"": 68576}]"
wavs/data_thchs30/train/C6_550.wav,"[{""start"": 8736, ""end"": 115680}]"
wavs/data_thchs30/train/B6_428.wav,"[{""start"": 12832, ""end"": 58848}, {""start"": 63008, ""end"": 134624}]"
wavs/data_thchs30/train/A6_194.wav,"[{""start"": 11808, ""end"": 137696}]"
wavs/data_thchs30/train/B22_284.wav,"[{""start"": 14880, ""end"": 85472}, {""start"": 91168, ""end"": 142304}, {""start"": 146976, ""end"": 177632}]"
wavs/data_thchs30/train/C17_533.wav,"[{""start"": 12832, ""end"": 153056}]"
wavs/data_thchs30/train/B8_395.wav,"[{""start"": 10784, ""end"": 83424}, {""start"": 89120, ""end"": 136672}]"
wavs/data_thchs30/train/A23_110.wav,"[{""start"": 23584, ""end"": 60896}, {""start"": 64032, ""end"": 84448}, {""start"": 95264, ""end"": 115680}, {""start"": 117280, ""end"": 137696}, {""start"": 142880, ""end"": 160736}]"
wavs/data_thchs30/train/B6_289.wav,"[{""start"": 14368, ""end"": 91616}, {""start"": 97824, ""end"": 114144}, {""start"": 116256, ""end"": 125920}, {""start"": 129056, ""end"": 139232}]"
wavs/data_thchs30/train/B7_424.wav,"[{""start"": 13856, ""end"": 51168}, {""start"": 53792, ""end"": 98272}, {""start"": 101408, ""end"": 135136}]"
wavs/data_thchs30/train/A6_55.wav,"[{""start"": 21024, ""end"": 76768}, {""start"": 79904, ""end"": 123872}]"
wavs/data_thchs30/train/B11_482.wav,"[{""start"": 6688, ""end"": 62944}, {""start"": 67104, ""end"": 96736}]"
wavs/data_thchs30/train/C32_606.wav,"[{""start"": 6688, ""end"": 20960}, {""start"": 23584, ""end"": 59360}, {""start"": 61984, ""end"": 126432}]"
wavs/data_thchs30/train/A19_216.wav,"[{""start"": 7712, ""end"": 87520}, {""start"": 93728, ""end"": 114144}]"
